continent	region	country	population	density	% urban	% growth	birth rate	death rate	fertility	under 5 mortaility
Latin America and the Caribbean	South America	Colombia	44222.3	38.8	76.5	1.6	22.2	5.4	2.6	32.8
Latin America and the Caribbean	South America	Ecuador	13002.5	45.9	64.3	1.5	23	5.8	2.8	54.6
Latin America and the Caribbean	South America	Falkland Islands (Malvinas)	3.1	0.3	82.2	0.5	NA	NA	NA	NA
Latin America and the Caribbean	South America	French Guiana	177.9	2	75.4	2.5	24.5	3.7	3.3	16.2
Latin America and the Caribbean	South America	Guyana	765.5	3.6	37.5	0.2	21.9	9	2.3	70.3
Latin America and the Caribbean	South America	Paraguay	5878.1	14.5	58	2.4	29.6	5.1	3.8	45.2
Latin America and the Caribbean	South America	Peru	27167.2	21.1	73.9	1.5	23.3	6.1	2.9	52.2
Latin America and the Caribbean	South America	Suriname	435.5	2.7	76	0.8	21.7	5.9	2.5	29.1
Latin America and the Caribbean	South America	Uruguay	3415.3	19.3	92.6	0.7	16.8	9.1	2.3	15.3
Latin America and the Caribbean	South America	Venezuela	25698.8	28.2	87.7	1.9	22.8	4.6	2.7	22.3
Northern America	Northern America	Bermuda	81.6	1539.5	100	0.7	NA	NA	NA	NA
Northern America	Northern America	Canada	31510.3	3.2	79.3	0.8	10.3	7.5	1.5	6.4
Northern America	Northern America	Greenland	56.6	0	82.7	0.3	NA	NA	NA	NA
Northern America	Northern America	Saint-Pierre-et-Miquelon	6.3	26.2	92.4	0.1	NA	NA	NA	NA
Northern America	Northern America	United States of America	294043.1	31.4	77.9	1	14.5	8.3	2.1	8.4
Oceania	Australia/New Zealand	Australia	19730.7	2.6	92	1	12.3	7.4	1.7	6.7
Oceania	Australia/New Zealand	New Zealand	3875.4	14.3	86.1	0.8	14	7.6	2	7.3
Oceania	Melanesia	Fiji	838.8	45.9	51.7	1	23.6	5.5	2.9	22
Oceania	Melanesia	New Caledonia	228.4	12.3	80.2	1.9	19.4	4.9	2.5	9.5
Oceania	Melanesia	Papua New Guinea	5711.3	12.3	18.1	2.2	31.6	9.4	4.1	84.5
Oceania	Melanesia	Solomon Islands	477	16.5	21.4	2.9	33.3	4.6	4.4	30.4
Oceania	Melanesia	Vanuatu	212	17.4	22.8	2.4	30.5	5.4	4.1	34.9
Oceania	Micronesia	Guam	162.8	300.9	40.2	1.5	20.4	4.9	2.9	11.3
Oceania	Micronesia	Kiribati	87.7	120.8	39.5	1.4	NA	NA	NA	NA
Oceania	Micronesia	Marshall Islands	53	292.6	66.3	1.2	NA	NA	NA	NA
Oceania	Micronesia	Fed. States of Micronesia	109.3	155.8	29.3	0.8	28	5.9	3.8	41.9
Oceania	Micronesia	Nauru	13.1	622	100	2.3	NA	NA	NA	NA
Oceania	Micronesia	Northern Mariana Islands	79.4	171.1	53	4	NA	NA	NA	NA
Oceania	Micronesia	Palau	20.5	44.7	69.3	2.1	NA	NA	NA	NA
Oceania	Polynesia	American Samoa	61.8	310.6	54.2	2.4	NA	NA	NA	NA
Oceania	Polynesia	Cook Islands	18.4	77.8	59.4	0.2	NA	NA	NA	NA
Oceania	Polynesia	French Polynesia	244.4	61.1	52.6	1.5	20	4.8	2.4	11.4
Oceania	Polynesia	Niue	1.9	7.5	33.7	-1.2	NA	NA	NA	NA
Oceania	Polynesia	Pitcairn	0.1	13.2	0	0	NA	NA	NA	NA
Oceania	Polynesia	Samoa	178	62.9	22.7	1	28.8	5.5	4.1	31.5
Oceania	Polynesia	Tokelau	1.5	127.2	0	-0.1	NA	NA	NA	NA
Oceania	Polynesia	Tonga	103.6	138.7	33.4	1	26.5	7.2	3.7	41.9
Oceania	Polynesia	Tuvalu	10.6	407.5	55.1	1.2	NA	NA	NA	NA
Oceania	Polynesia	Wallis and Futuna Islands 	14.7	73.6	0	0.6	NA	NA	NA	NA
