country	Continent	Region	pop	density	pct.urban	pct.gr	br	dr	fert	under.5.mort
France	Europe	Western Europe	60144.1	109.1	75.9	0.5	12.8	9.3	1.9	6.1
Germany	Europe	Western Europe	82475.6	231.2	88.1	0.1	8.7	10.6	1.4	5.5
Liechtenstein	Europe	Western Europe	33.6	209.7	21.9	0.8	NA	NA	NA	NA
Luxembourg	Europe	Western Europe	453.1	175.2	92.6	1.3	12.6	8.2	1.7	6.7
Monaco	Europe	Western Europe	34.4	23089.9	100	0.9	NA	NA	NA	NA
Netherlands	Europe	Western Europe	16149.2	395.4	89.8	0.5	12.1	8.9	1.7	6.2
Switzerland	Europe	Western Europe	7168.7	173.6	67.4	0	8.7	9.8	1.4	5.9
Latin America and the Caribbean	Latin America and the Caribbean	NA	543245.8	26.5	76.6	1.4	21.6	6.4	2.5	40.6
Caribbean	Latin America and the Caribbean	Caribbean	38692.3	164.9	64.2	0.9	19.5	8.8	2.4	57.6
Anguilla	Latin America and the Caribbean	Caribbean	11.8	123.4	100	1.7	NA	NA	NA	NA
Antigua and Barbuda	Latin America and the Caribbean	Caribbean	73	165.9	37.7	0.5	NA	NA	NA	NA
Aruba	Latin America and the Caribbean	Caribbean	99.5	515.5	51.4	2	NA	NA	NA	NA
Bahamas	Latin America and the Caribbean	Caribbean	313.8	22.6	89.4	1.1	19.4	8.2	2.3	24.5
Barbados	Latin America and the Caribbean	Caribbean	270.4	628.8	51.6	0.4	12.2	7.8	1.5	12.1
British Virgin Islands	Latin America and the Caribbean	Caribbean	20.9	136.7	63.7	1.8	NA	NA	NA	NA
Cayman Islands	Latin America and the Caribbean	Caribbean	40.4	155.8	100	3	NA	NA	NA	NA
Cuba	Latin America and the Caribbean	Caribbean	11300.4	101.9	75.8	0.3	11.6	7.2	1.6	9.6
Dominica	Latin America and the Caribbean	Caribbean	78.6	104.7	72	0.3	NA	NA	NA	NA
Dominican Republic	Latin America and the Caribbean	Caribbean	8744.9	179.4	67.2	1.5	23.3	7	2.7	53.3
