COUNTRY_NAME,IND1_DESC,1999,2000,2001,2002,2003
Bangladesh,"Population, total",1.29E+08,1.31E+08,1.33E+08,1.36E+08,1.38E+08
Bangladesh,"Poverty headcount, national (% of population)",NA,49.8,NA,NA,NA
Bangladesh,"Primary completion rate, female (% of relevant age group)",NA,NA,NA,77.9,NA
Bangladesh,"Primary completion rate, total (% of relevant age group)",NA,72.49,74.98,76.82,NA
Bangladesh,"School enrollment, primary (% net)",88.77,87.68,86.61,NA,NA
Bangladesh,"School enrollment, secondary (% net)",42.12,43.07,43.83,NA,NA
Barbados,Aid per capita (current US$),-7.86,0.94,-4.29,12.79,NA
Barbados,CO2 emissions (metric tons per capita),4.57,4.41,NA,NA,NA
Barbados,"Fertility rate, total (births per woman)",NA,1.75,NA,1.75,NA
Barbados,GDP (current US$),2.47E+09,2.58E+09,2.53E+09,2.53E+09,2.63E+09
Barbados,GDP growth (annual %),2.59,2.31,-2.06,-2.05,1.6
Barbados,"Life expectancy at birth, total (years)",NA,75.42,NA,74.94,NA
Barbados,"Literacy rate, adult female (% of females ages 15 and above)",99.65,99.68,99.69,99.71,NA
Barbados,"Literacy rate, adult total (% of people ages 15 and above)",99.65,99.67,99.69,99.7,NA
Barbados,"Mortality rate, infant (per 1,000 live births)",NA,12,NA,12,NA
Barbados,"Mortality rate, under-5 (per 1,000)",NA,14,NA,14,NA
Barbados,Population growth (annual %),0.38,0.38,0.37,0.37,0.74
Barbados,"Population, total",266000,267000,268000,269000,271000
Barbados,"School enrollment, primary (% net)",99.83,99.86,99.79,NA,NA
Barbados,"School enrollment, secondary (% net)",89.61,84.91,86.77,NA,NA
Belarus,Aid per capita (current US$),3.92,3.96,3.93,3.97,NA
Belarus,CO2 emissions (metric tons per capita),5.76,5.91,NA,NA,NA
Belarus,Electric power consumption (kwh per capita),2704.04,2677.66,2675.93,NA,NA
Belarus,Energy use (kg of oil equivalent per capita),2381.17,2431.78,2448.85,NA,NA
Belarus,"Fertility rate, total (births per woman)",1.31,1.29,NA,1.25,NA
Belarus,GDP (current US$),1.21E+10,1.27E+10,1.24E+10,1.43E+10,1.75E+10
Belarus,GDP growth (annual %),3.4,5.8,4.7,4.7,6.8
Belarus,"Life expectancy at birth, total (years)",67.91,68.01,NA,68.21,NA
Belarus,"Literacy rate, adult female (% of females ages 15 and above)",99.53,99.55,99.58,99.6,NA
Belarus,"Literacy rate, adult total (% of people ages 15 and above)",99.64,99.65,99.67,99.68,NA
Belarus,"Mortality rate, infant (per 1,000 live births)",NA,17,NA,17,NA
Belarus,"Mortality rate, under-5 (per 1,000)",NA,20,NA,20,NA
Belarus,Population growth (annual %),-0.34,-0.3,-0.35,-0.45,-0.44
Belarus,"Population, total",1.00E+07,1.00E+07,9970000,9925000,9881000
Belarus,"Poverty headcount, national (% of population)",NA,41.9,NA,NA,NA
Belarus,"Primary completion rate, female (% of relevant age group)",NA,NA,NA,NA,NA
Belarus,"Primary completion rate, total (% of relevant age group)",NA,NA,130.67,NA,NA
Belarus,"School enrollment, primary (% net)",NA,NA,94.21,NA,NA
Belarus,"School enrollment, secondary (% net)",NA,NA,77.54,NA,NA
Belgium,CO2 emissions (metric tons per capita),10.2,9.97,NA,NA,NA
Belgium,Electric power consumption (kwh per capita),7286.13,7563.6,7596.19,NA,NA
Belgium,Energy use (kg of oil equivalent per capita),5741.15,5785.31,5735.49,NA,NA
Belgium,"Fertility rate, total (births per woman)",1.61,1.61,NA,1.62,NA
Belgium,GDP (current US$),2.51E+11,2.28E+11,2.28E+11,2.45E+11,3.02E+11
Belgium,GDP growth (annual %),3.19,3.72,0.77,0.68,1.1
Belgium,"Life expectancy at birth, total (years)",NA,78.15,NA,78.52,NA
Belgium,"Mortality rate, infant (per 1,000 live births)",NA,6,NA,5,NA
Belgium,"Mortality rate, under-5 (per 1,000)",NA,6,NA,6,NA
Belgium,Population growth (annual %),0.23,0.25,0.34,0.45,0.15
Belgium,"Population, total",1.02E+07,1.03E+07,1.03E+07,1.03E+07,1.03E+07
Belgium,"School enrollment, primary (% net)",99.99,99.96,NA,NA,NA
Belgium,"School enrollment, secondary (% net)",NA,NA,NA,NA,NA
Belize,Aid per capita (current US$),199.7,61.08,87.41,87.79,NA
Belize,CO2 emissions (metric tons per capita),2.67,3.25,NA,NA,NA
Belize,"Fertility rate, total (births per woman)",NA,3.13,NA,2.95,NA
Belize,GDP (current US$),7.35E+08,8.33E+08,8.69E+08,9.28E+08,NA
Belize,GDP growth (annual %),8.76,12.06,4.92,4.26,NA
Belize,"Life expectancy at birth, total (years)",NA,73.94,NA,74.11,NA
Belize,"Literacy rate, adult female (% of females ages 15 and above)",92.83,77.13,NA,NA,NA
Belize,"Literacy rate, adult total (% of people ages 15 and above)",93.03,76.91,NA,NA,NA
Belize,"Mortality rate, infant (per 1,000 live births)",NA,34,NA,34,NA
Belize,"Mortality rate, under-5 (per 1,000)",NA,41,NA,40,NA
Belize,Population growth (annual %),3.51,3.39,2.87,2.4,2.34
Belize,"Population, total",232000,240000,247000,253000,259000
Belize,"Primary completion rate, female (% of relevant age group)",82.87,102.17,NA,NA,NA
Belize,"Primary completion rate, total (% of relevant age group)",81.78,87.14,NA,NA,NA
Belize,"School enrollment, primary (% net)",96.32,96.22,NA,NA,NA
Belize,"School enrollment, secondary (% net)",59.1,60.41,NA,NA,NA
Benin,Aid per capita (current US$),34.82,38.34,42.88,33.62,NA
Benin,CO2 emissions (metric tons per capita),0.22,0.26,NA,NA,NA
Benin,Electric power consumption (kwh per capita),56.93,64.13,65.61,NA,NA
Benin,Energy use (kg of oil equivalent per capita),313.53,317.1,317.57,NA,NA
Benin,"Fertility rate, total (births per woman)",NA,5.5,NA,5.3,NA
Benin,GDP (current US$),2.39E+09,2.25E+09,2.37E+09,2.70E+09,3.50E+09
Benin,GDP growth (annual %),4.7,5.76,5.02,6.01,5.58
Benin,"Life expectancy at birth, total (years)",NA,52.99,NA,52.71,NA
Benin,"Literacy rate, adult female (% of females ages 15 and above)",22.7,23.58,24.56,25.53,NA
Benin,"Literacy rate, adult total (% of people ages 15 and above)",36.28,37.42,38.59,39.76,NA
Benin,"Mortality rate, infant (per 1,000 live births)",NA,96,NA,93,NA
Benin,"Mortality rate, under-5 (per 1,000)",NA,157,NA,151,NA
Benin,Population growth (annual %),2.61,2.64,2.6,2.57,2.53
Benin,"Population, total",6060000,6222000,6386000,6552000,6720000
Benin,"Poverty headcount, national (% of population)",NA,NA,NA,NA,NA
Benin,"Primary completion rate, female (% of relevant age group)",NA,29.71,32.14,NA,NA
Benin,"Primary completion rate, total (% of relevant age group)",NA,43.02,45.29,NA,NA
Benin,"School enrollment, primary (% net)",71.26,NA,NA,NA,NA
Benin,"School enrollment, secondary (% net)",17.51,NA,19.88,NA,NA
Bermuda,Aid per capita (current US$),1.27,0.95,0.32,0.32,NA
Bermuda,CO2 emissions (metric tons per capita),7.33,7.33,NA,NA,NA
Bermuda,GDP (current US$),NA,NA,NA,NA,NA
Bermuda,GDP growth (annual %),NA,NA,NA,NA,NA
Bermuda,"Population, total",63000,63000,63000,63000,64000
Bermuda,"School enrollment, primary (% net)",NA,100,NA,NA,NA
Bermuda,"School enrollment, secondary (% net)",NA,86.12,NA,NA,NA
